imdb_title_id,title,year,genre,duration,avg_vote
tt0035423,Kate & Leopold,2001,"Comedy, Fantasy, Romance",118,6.4
tt0064730,Nihon boryoku-dan: Kumicho,2000,"Action, Crime",97,7
tt0064820,Tutti contro Harry,1989,Comedy,81,6.8
tt0066020,7 xiao fu,1986,"Action, Comedy",80,6.7
tt0066498,L'orecchio,1990,"Drama, Thriller",94,7.8
tt0067625,Proverka na dorogakh,1986,"Drama, War",96,7.9
tt0080828,Gui yao gui,1989,"Action, Comedy, Horror",87,6.6
tt0081145,Harry e Carota,1993,"Comedy, Crime, Drama",94,5.4
tt0081236,Ninja campione,1986,Action,87,3.2
tt0081366,The Power,1984,Horror,84,4.6
tt0081674,UFOria,1985,"Comedy, Sci-Fi",93,6.4
tt0081721,Vincent et moi,1990,"Drama, Family, Fantasy",100,6.3
tt0081766,The Wizard of Speed and Time,1988,"Biography, Comedy, Musical",95,7.1
tt0083061,Shang Hai tan: Shi san tai bao,1984,Action,90,6.3
tt0083352,Yong zhe wu ju,1988,"Action, Comedy, Horror",91,7.3
tt0083509,Giustizia sommaria,1985,Action,91,4.1
tt0083541,Alley Cat,1984,Action,82,5.4
tt0083853,Dreams Come True,1984,"Adventure, Comedy, Drama",95,5.9
tt0084324,Meri Jung,1985,"Action, Drama",164,7.3
tt0084345,Moy drug Ivan Lapshin,1985,Drama,100,7.7
tt0084388,Diario per i miei figli,1984,"Biography, Drama",106,7.3
tt0084460,P.K. and the Kid,1987,Drama,89,5.4
tt0084533,Preppies,1984,Comedy,83,4.1
tt0084548,Przesluchanie,1989,"Crime, Drama, Thriller",118,8
tt0084549,Destino cieco,1987,Drama,114,7.9
tt0084750,Sword of the Valiant: The Legend of Sir Gawain and the Green Knight,1984,"Action, Adventure, Fantasy",102,4.5
tt0084870,Conversazione privata,1993,"Biography, History",73,7.3
tt0085227,Belye rosy,1984,"Comedy, Drama, Romance",84,7.5
tt0085240,Bianca,1984,"Comedy, Drama",96,7.4
tt0085241,Las bicicletas son para el verano,1984,Drama,103,7.2
tt0085251,Blondinka za uglom,1984,"Comedy, Romance",83,6.6
tt0085253,Blood Rage,1987,Horror,82,5.8
tt0085289,Canicule,1984,"Action, Crime, Drama",101,5.7
tt0085315,Al-takhshiba,1984,"Crime, Drama",128,6.7
tt0085316,Cenerentola '80,1984,"Drama, Fantasy, Musical",140,6.8
tt0085320,Champions,1984,"Biography, Drama, Romance",106,6.5
tt0085335,Chuchelo,1984,Drama,127,7.7
tt0085345,La ciudad y los perros,1985,Drama,135,7.4
tt0085416,The Dark Side to Love,1984,"Adventure, Comedy, Romance",90,6
tt0085420,Delitto in Formula Uno,1984,"Comedy, Crime, Thriller",95,6.1
tt0085437,Di zi ye feng kuang,1985,"Action, Comedy",93,5.8
tt0085442,Disconnected,1984,"Crime, Drama, Horror",82,4.2
tt0085454,Don Camillo,1984,"Action, Comedy",126,5.7
tt0085486,Emmanuelle 4,1984,"Drama, Romance",90,3.4
tt0085499,Epílogo,1984,Drama,92,6.2
tt0085512,Eszkimó asszony fázik,1984,Drama,117,7.1
tt0085540,L'ultimo guerriero,1984,"Action, Sci-Fi",95,4.1
tt0085602,Going Back,1984,"Drama, Romance",79,6.2
tt0085627,I guerrieri dell'anno 2072,1984,"Action, Sci-Fi, Thriller",89,4.9
tt0085628,Gui ma tian shi,1984,"Action, Comedy, Horror",95,6.1
tt0085662,Detenute violente,1984,"Action, Crime, Drama",90,3.2
tt0085671,Hentai kazoku: Aniki no yomesan,1984,"Comedy, Drama",63,5.8
tt0085746,Jaguarov skok,1984,Drama,99,6.2
tt0085785,Khandhar,1984,Drama,106,7.2
tt0085829,De leeuw van Vlaanderen,1985,"War, Drama",90,5.7
tt0085839,"Liberté, la nuit",1984,"Drama, War",82,6.7
tt0085861,La Lola nos lleva al huerto,1984,Comedy,90,3.8
tt0085912,Mashaal,1984,"Action, Drama, Family",162,7.4
tt0085916,Matka Królów,1987,"Drama, History, War",127,7.2
tt0085966,Los motivos de Berta,1984,Drama,115,6.8
tt0085972,La morte di Mikel,1984,"Crime, Drama",90,6
tt0086176,Rats - Notte di terrore,1984,"Horror, Sci-Fi",97,4.7
